topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Optimization of actions and planning,"You have 12 boxes that look identical and contain identical items, but one box is filled with defective items weighing slightly less than the others. Your task is to determine which box contains the defective items. You have at your disposal a balance scale, which allows you to compare the weight of two sets of boxes against each other. You can only use the scale three times. How would you identify the box with defective items?","First, label the boxes from 1 to 12. Use the scale as follows: - First weighing: Compare boxes 1, 2, 3, and 4 against boxes 5, 6, 7, and 8. If the scales balance, then the defective box is among 9, 10, 11, or 12. If the scales tip, then the lighter side contains the defective box. - Second weighing: If the defective box is among 1-8 (based on the first weighing), compare boxes 1, 2, 5, and 6 against boxes 3, 4, 7, and a known good box. If the scale balances, the defective box is either 7 or 8, otherwise, the lighter side indicates whether it's among 1-2 or 5-6. If the first weighing indicated the defective box was among 9-12, compare 9 and 10 against 11 and a known good box. The lighter side will indicate if it's 9 or 10; if balanced, the defective box is 12. - Third weighing: Take the two or three suspect boxes from the second weighing. Compare one against another (if comparing two boxes) or compare one suspect against a known good box (if testing one of the three remaining suspects). This identifies the defective box.",Always start by weighing six boxes against the other six.,Always split the group in half and use one weighing for each split.,"Split the boxes into three groups and use one weighing to identify which group contains the defective box, then subdivide that group.",Weigh each box individually against a known good box.,Another answer,3
Probability and statistics,"In a classroom, there are 20 students. On a special drawing competition day, each student is allowed to draw either a house, a tree, or a car. The probability of a student choosing to draw a house is 1/2, while the probability of choosing a tree is 1/3. What is the probability that at least one student will draw a car?","Since the probability of drawing a house is 1/2 and a tree is 1/3, the probability of drawing a car is 1 - (1/2 + 1/3) = 1 - (3/6 + 2/6) = 1/6. The probability that no student will draw a car is the probability that all 20 students will draw either a house or a tree. This can be calculated as (5/6) raised to the power of 20 (since 5/6 is the probability that an individual student will not draw a car). The probability that at least one student will draw a car is therefore 1 minus this value, which is 1 - (5/6)^20.",0.0264,0.9736,0.6435,0.7745,Another answer,2
Spatial reasoning,"Imagine that you are in a room with 4 walls, each wall having a door that leads to another room. The rooms are positioned in a square layout and each room has a unique color: red, blue, yellow, and green. You start in the red room. The doors on your right side always lead to the blue room, and doors directly ahead lead to the yellow room. If you are in the green room, the door to your left leads back to the red room. Knowing these rules, if you start in the red room and want to end up in the green room, which sequence of turns must you take?","To solve this spatial reasoning puzzle, you must visualize the sequence of rooms and determine the correct path to the green room from the red room. Since the red room's right door leads to the blue room, and from there you could move forward to the yellow room. To get to the green room from the yellow room, you cannot go forward or right, as these would lead you to the blue or red rooms respectively. Therefore, you must turn left from the yellow room. The sequence is: From the red room, go right to the blue room, go forward to the yellow room, and then turn left to the green room.","Right, Forward, Left","Right, Left, Forward","Forward, Left, Right","Left, Right, Forward",Another answer,5
Probability and statistics,"You have a jar with 90 balls, of which 30 are red, 30 are blue, and 30 are green. If you randomly pick two balls without replacement, what is the probability of both balls being the same color?","The probability of picking two balls of the same color without replacement can be calculated by considering the probability for each color and then summing those probabilities. For any given color, the probability of drawing two balls of that color is: (Number of balls of chosen color / Total number of balls) * ((Number of balls of chosen color - 1) / (Total number of balls - 1)). So for a single color, it is (30/90) * (29/89). Since there are three colors, we multiply that result by 3. The full calculation is then: 3 * (30/90) * (29/89) = (1/3) * (29/89) = 29/267. Therefore, the probability of drawing two balls of the same color is 29/267.",11/89,29/267,58/267,29/89,Another answer,4
Operation of mechanisms,"A team of engineers is testing three different types of sensors (A, B, and C) for a new automated system. Each sensor can either pass or fail the test, independently of the others. The probability of sensor A passing is 70%, sensor B passing is 60%, and sensor C passing is 50%. To be considered a success, at least two sensors must pass the test. What is the probability that the test is a success?","The probability of at least two sensors passing is calculated by finding the sum of the probabilities of all favorable outcomes (At least two pass):
- Probability that all three sensors pass: 0.7 * 0.6 * 0.5 = 0.21
- Probability that only A and B pass: 0.7 * 0.6 * (1 - 0.5) = 0.21
- Probability that only A and C pass: 0.7 * (1 - 0.6) * 0.5 = 0.14
- Probability that only B and C pass: (1 - 0.7) * 0.6 * 0.5 = 0.09
Now, we add these probabilities together to find the probability that the test is a success: 0.21 + 0.21 + 0.14 + 0.09 = 0.65 or 65%",45%,65%,75%,85%,Another answer,2
Sequence solving,Imagine a sequence where each term is the result of the multiplication of the sum of the digits of the previous term. The sequence starts with 289. What is the 4th term in the sequence?,"The sequence starts with 289. The sum of digits of 289 is 2 + 8 + 9 = 19. The second term is therefore the result of 19 multiplied by itself, which is 361. Sum of digits of 361 is 3 + 6 + 1 = 10. The third term is 10 multiplied by itself, which is 100. Now, the sum of digits of 100 is 1 + 0 + 0 = 1. So, the fourth term is 1 multiplied by itself, which is 1.",100,19,361,1,Another answer,5
Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A produces gears that are either perfect or have a defect. Machine B takes the gears from A and polishes them, which does not affect whether they are defective or perfect. Machine C inspects the gears. If a gear is perfect, it passes the inspection 90% of the time but fails 10% of the time. If a gear is defective, it passes the inspection 20% of the time and fails 80% of the time. A random gear is selected and it passes the inspection. What is the probability that it was actually perfect?","Let P(Defective) be the probability a gear is defective, and P(Perfect) = 1 - P(Defective) be the probability it is perfect. Let P(Pass|Defective) = 0.20 and P(Pass|Perfect) = 0.90 be the probabilities of passing given the condition of the gear. The probability it is perfect given that it passed is P(Perfect|Pass) which can be found using Bayes' theorem. P(Perfect|Pass) = (P(Pass|Perfect) * P(Perfect)) / ((P(Pass|Perfect) * P(Perfect)) + (P(Pass|Defective) * P(Defective))). Assuming the probability that a gear is initially defective is the same as it being perfect, P(Defective) = P(Perfect) = 0.5, then P(Perfect|Pass) = (0.90 * 0.5) / ((0.90 * 0.5) + (0.20 * 0.5)) = 0.9 / (0.9 + 0.2) = 0.9 / 1.1 = 0.8181... or about 81.82%.",50%,81.82%,90%,20%,Another answer,2
Probability and statistics,You are given a fair six-sided die (numbered 1 to 6) and a fair coin (heads or tails). You will roll the die first and then flip the coin. What is the probability of getting an even number on the die and a head on the coin?,"The probability of rolling an even number (2, 4, or 6) on a fair six-sided die is 3/6 or 1/2, since there are three favorable outcomes out of six possible outcomes. The probability of getting a head on a fair coin is 1/2, since there are two sides and only one is a head. To find the combined probability of both independent events occurring, you multiply their probabilities: (1/2) * (1/2) = 1/4. Therefore, the probability of rolling an even number and flipping a head is 1/4 or 25%.",1/4,1/2,1/3,3/4,Another answer,1
Spatial reasoning,"A cube has been painted with a green color on all its surfaces, and then the cube has been cut into 27 identical small cubes of equal size. These small cubes are mixed in a bag without looking. Without knowing the history of these cubes and without looking into the bag, you pick one small cube. What is the probability that the cube you pick has at least one green face? (Assume the original cube had 3 layers of small cubes when cut.)","The cube has 27 small cubes once it is cut (3x3x3). There are different kinds of small cubes in terms of painted faces: 8 corner cubes with 3 painted faces; 12 edge cubes with 2 painted faces; 6 face cubes with 1 painted face; and 1 inner cube with no painted face. Thus, the number of cubes with at least one painted face is 8 + 12 + 6 = 26, and the total number of cubes is 27. The probability of picking a cub with at least one painted face is 26/27.",26/27,1/27,3/27,8/27,Another answer,1
Probability and statistics,"In a certain small town, the probability that it will rain on any given day is 0.3. In an attempt to prove it, a weather enthusiast decides to record the weather of the town for 3 consecutive days. What is the probability that it will rain on at least one of those days?","The probability that it will not rain on any given day is 1 - 0.3 = 0.7. The probability that it will not rain for all three consecutive days is 0.7^3. Thus, the probability that it will rain on at least one of those days is 1 - (0.7^3) = 1 - (0.7*0.7*0.7) = 1 - 0.343 = 0.657.",0.3,0.657,0.9,0.343,Another answer,2
Probability and statistics,"In a certain college, 60% of students are enrolled in a mathematics course, 45% are enrolled in a statistics course, and 20% are enrolled in both courses. If a student is chosen randomly, what is the probability that they are enrolled in exactly one of the two courses?","Using the principle of inclusion-exclusion, the probability that a student is enrolled in either a mathematics course or a statistics course, but not both, can be found as follows: P(Math or Stats) = P(Math) + P(Stats) - P(Math and Stats) = 0.60 + 0.45 - 0.20 = 0.85. Thus, the probability that a student is enrolled in exactly one of the two courses is 85%.",65%,85%,100%,40%,Another answer,1
Probability and statistics,"In a village, there are two types of birds: sparrows and crows. There are 21 more sparrows than crows, and the probability of randomly picking a sparrow from the total birds is 2/3. How many crows and sparrows are there in the village?","Let the number of crows be 'c'. Then, the number of sparrows would be 'c + 21'. The total number of birds is 'c + (c + 21) = 2c + 21'. The probability of picking a sparrow is the number of sparrows divided by the total number of birds, which is '(c + 21)/(2c + 21) = 2/3'. Solving this equation: 3(c + 21) = 2(2c + 21), 3c + 63 = 4c + 42, c = 21. Hence, there are 21 crows and 42 sparrows in the village.","21 crows, 42 sparrows","42 crows, 63 sparrows","18 crows, 39 sparrows","24 crows, 45 sparrows",Another answer,1
Classic riddles,"A king has 100 bottles of wine, and one of them is poisoned. The poison is such that if ingested, the effects are visible only after 24 hours. The king needs to find the poisoned bottle by tomorrow so he can execute the culprit at a banquet. He has 10 prisoners at his disposal to act as tasters. How can the king use the prisoners to identify the poisoned bottle by the next day?","The king can assign each bottle a number from 1 to 100 and then convert those numbers into binary. Each prisoner will be assigned a bit position, from the first (1) to the tenth (1024). For every bottle, if the number has a '1' in a prisoner's bit position, that prisoner drinks from the bottle. For example, the bottle number 3 is 0011 in binary; therefore, prisoners number 1 and 2 will drink from this bottle. If bottle number 58, which is 111010 in binary, is poisoned, prisoners 1, 2, 4, and 6 will die, and from the binary pattern, the king will know that bottle 58 is the poisoned one. This will require the least amount of prisoners and testing to find out the poisoned bottle in one go.",Assign each prisoner to drink from 10 different bottles,Use a binary system to minimize the number of tasters while ensuring one tasting round,Let each prisoner taste randomly until one of them shows the effects of poison,Divide the bottles into 10 groups of 10 and have each prisoner taste an entire group,Another answer,2
Spatial reasoning,"In a sports hall, there are three distinct sections where different activities take place: tennis, basketball, and volleyball. The basketball section is to the immediate left of the volleyball section. The tennis section is not adjacent to the volleyball section. Given these clues, which section is in the middle?","The basketball section is to the left of the volleyball section, thus either volleyball is in the middle with basketball on its left and tennis on its right, or basketball is in the middle with volleyball on its right. However, since the tennis section cannot be adjacent to volleyball, the only option is that basketball is in the middle, tennis to its left, and volleyball to its right.",Tennis,Basketball,Volleyball,Cannot be determined,Another answer,2
Optimization of actions and planning,"You are the project manager for a software development project. The project is estimated to take a total of 500 hours to complete and is due in 10 weeks. You have a team of 4 developers, each with different productivity rates. Developer A can complete 12 hours of work in one day, Developer B can complete 8 hours of work in one day, Developer C can complete 10 hours of work in one day, and Developer D can complete 6 hours of work in one day. Considering that each developer works 5 days a week, how would you allocate the workload efficiently to ensure that the project is completed on time?","First, calculate the total available developer hours over the 10-week period. For each developer: A: 12 hours/day * 5 days/week * 10 weeks = 600 hours, B: 8 hours/day * 5 days/week * 10 weeks = 400 hours, C: 10 hours/day * 5 days/week * 10 weeks = 500 hours, D: 6 hours/day * 5 days/week * 10 weeks = 300 hours. Total available hours = 600 + 400 + 500 + 300 = 1800 hours. Since the project requires 500 hours in total, it can be calculated that if you allocate the project hours as follows: Developer A works for 2 weeks (full-time), Developer B works for 4 weeks (partial load), Developer C works for 3 weeks (partial load), Developer D works for 3 weeks (partial load), you will be able to complete the project on time using 480 hours, with some room for unexpected delays. According to the developers' productivity rates, the optimal allocation would be: Developer A: 2 weeks, Developer B: 3.125 weeks, Developer C: 2.5 weeks, Developer D: 2.5 weeks.","Developer A: 3 weeks, Developer B: 2 weeks, Developer C: 3 weeks, Developer D: 2 weeks","Developer A: 2 weeks, Developer B: 3 weeks, Developer C: 3 weeks, Developer D: 2 weeks","Developer A: 2 weeks, Developer B: 3.125 weeks, Developer C: 2.5 weeks, Developer D: 2.5 weeks","Developer A: 4 weeks, Developer B: 2 weeks, Developer C: 2 weeks, Developer D: 2 weeks",Another answer,5
Optimization of actions and planning,"You are planning to start a garden and have to plant 5 different types of flowers—roses, daisies, tulips, lilies, and sunflowers. Your goal is to arrange the flowers in a row so that each type of flower is placed at least two spots away from its same type to discourage pests and diseases. There are enough plants to fill all spots, and the row has exactly 15 spots. In how many different ways can you arrange the flowers following this rule?","Being a medium difficulty puzzle, we don't need to account for complex combinatorial calculations such as permutations with repetitions. Let's consider each type of flower one by one, and find the number of ways we can arrange them with the given restrictions. First, place the roses. There are 13 spots where the first rose can go, since placing it in the last two spots would not leave enough room for the second. After placing the first rose, there are 10 spots left for the second rose, and so on, until you have placed all the roses. The same logic applies to the other flowers, taking into consideration the spots already taken by the roses. For simplicity, and because the spots are distinguished only by the flower type, we can treat the different permutations of the same flower combination as identical. The resulting calculation is 13 (choices for the first flower of each type) * 10 (choices for the second flower of each type) * 7 (choices for the third). We therefore have 13 * 10 * 7 = 910 arrangements. Note: This is a simplification for a medium difficulty level. The exact number, taking into account each specific restriction, would be more complex to calculate and is a problem more suitable for a computer algorithm rather than manual resolution.",648,1560,910,2520,Another answer,5
Lateral thinking,"Alice, Bob, and Charlie are trapped on an island with a bridge that can only hold two people at a time. They have one flashlight and, because it's nighttime, the flashlight must be used when crossing the bridge. Alice can cross the bridge in 1 minute, Bob in 2 minutes, and Charlie in 5 minutes. When two people cross together, they must move at the slower person's pace. What is the shortest time in which all three can get across the bridge?","The shortest time all three can get across the bridge is 8 minutes. First, Alice and Bob cross the bridge with the flashlight, taking 2 minutes. Alice then returns with the flashlight, taking 1 more minute (total 3 minutes). Next, Charlie crosses the bridge with the flashlight, taking 5 minutes (total 8 minutes). Finally, while Charlie waits on the other side, Bob goes back across the bridge to Alice, and both cross together again, taking 2 more minutes. This way, all three have crossed the bridge in the shortest possible time of 8 minutes.",8 minutes,10 minutes,12 minutes,15 minutes,Another answer,3
Optimization of actions and planning,"You have an electric car that can travel up to 100 miles on a full charge. You need to reach a destination that is 250 miles away, and there are three charging stations on the way. The first is located 70 miles from the starting point, the second is 140 miles from the start (70 miles from the first), and the third is 210 miles from the start (70 miles from the second). Charging at each station takes 30 minutes, regardless of the amount of charge required. Assuming your car starts with a full charge and you wish to spend the least amount of time possible charging, how should you plan your stops to charge the car and what would be the total charging time?","You should stop to charge at the first and second stations. At the first station, charge just enough to get you to the second station (40 miles worth or 40% of a full charge since 40 miles is 40% of 100 miles). Each percent charge takes 0.3 minutes, so you would charge for 12 minutes. At the second station, charge enough to reach the destination (60 miles worth or 60% of a full charge). This would take you 18 minutes to charge. Total charging time would be 12 minutes at the first station plus 18 minutes at the second station, equating to 30 minutes of total charging time.",Charge once at the first station for 50 minutes.,Charge once at the second station for 25 minutes.,Charge at the first and third stations for a total of 40 minutes.,Charge at the first and second stations for a total of 30 minutes.,Another answer,5
Spatial reasoning,Imagine a 3x3x3 cube made from 27 smaller identical cubes. This large cube has the outer surface painted red. The cube is now cut into its 27 smaller cubes. A blindfolded person reassembles the smaller cubes back into a 3x3x3 cube without knowing which sides of the smaller cubes are painted. What is the probability that the reassembled cube will have the outside completely painted red?,"The only way for the reassembled cube to have its outside completely painted red is if each smaller cube is returned to its original location with the correct orientation. Since the center cube of each face (6 in total) has only one painted side, they cannot be confused with any other piece, and the center cube of the large cube has no paint, so it also cannot be confused. The corner cubes each have three painted sides, and there are 8 corner cubes, which can be arranged in 8! different ways, and each corner cube can be oriented in 3 different ways that have painted sides facing outward, so the orientations of the corner cubes can be done in 3^8 ways. The edge cubes have 2 painted sides and there are 12 such cubes. The edge cubes can be arranged in 12! ways and each can be oriented in 2 ways, so the orientation of edge cubes can be done in 2^12 ways. Hence, the probability P is calculated by the formula: P = 1 / (8! * 12! * 3^8 * 2^12).",1 / (8^3 * 3^8 * 2^8),1 / (8! * 12! * 3^8 * 2^12),1 / (8! * 3^12),1 / (6! * 3! * 8! * 2^12),Another answer,5
Sequence solving,"Imagine you find a sequence of numbers written on the board at school, which looks like this: 1, 4, 9, 16, 25, ... You notice the sequence follows a specific rule. Your teacher challenges you to determine the next two numbers in the sequence. Can you figure out what numbers they are?","The sequence is a list of squared numbers, starting from 1. Each number is an incrementing natural number multiplied by itself. So, the pattern is: 1^2 = 1, 2^2 = 4, 3^2 = 9, 4^2 = 16, 5^2 = 25, ... Therefore, the next two numbers would be 6^2 = 36 and 7^2 = 49.","36, 49","36, 64","49, 64","81, 100",Another answer,1
Optimization of actions and planning,"You are in charge of planning the schedule for a conference. There are three speakers (A, B, and C) who must all speak once in three different time slots (Morning, Afternoon, Evening). Speaker A has a morning workshop and so cannot speak then. Speaker B prefers not to speak in the evening due to a prior commitment. Speaker C is flexible and has no preference. Your task is to schedule all speakers so that their requirements are met and they all speak at different times. What is the optimal schedule for the speakers?","To meet the requirements, Speaker A cannot speak in the morning, so they must be scheduled for either the afternoon or the evening. Since Speaker B prefers not to speak in the evening, we can schedule them for the morning or the afternoon. Speaker C can be placed in the remaining time slot. The optimal schedule, considering the needs and preferences, will be: Speaker A in the Afternoon, Speaker B in the Morning, and Speaker C in the Evening.","A: Morning, B: Afternoon, C: Evening","A: Afternoon, B: Morning, C: Evening","A: Evening, B: Morning, C: Afternoon","A: Evening, B: Afternoon, C: Morning",Another answer,2
Operation of mechanisms,"In a room, there are three machines controlled by three switches outside the room. Each switch corresponds to one machine. However, it's unknown which switch controls which machine. You can only enter the room once after flipping the switches any number of times. The machines do not start up immediately and there is no way to identify from sounds or vibrations which switch corresponds to which machine. How do you identify which switch controls each machine with just one entry into the room?","Start by flipping Switch 1 and wait for a couple of minutes. Then flip it back to its original position and immediately flip Switch 2. Enter the room. One machine will be running (controlled by Switch 2), one machine will be warm but not running (controlled by Switch 1), and one machine will be at room temperature (controlled by Switch 3).",Flip all switches and immediately check the machines.,Flip each switch one by one and enter the room after each flip.,"Flip Switch 1, wait, flip it back, flip Switch 2, and then enter the room.",Leave all switches off and guess the corresponding machines.,Another answer,5
Math problems,"Assume you are presented with four different jars containing different numbers of blue and red marbles. Jar A has 3 blue marbles and 7 red marbles. Jar B has 6 blue marbles and 4 red marbles. Jar C has 8 blue marbles and 2 red marbles. Jar D has 0 blue marbles and 10 red marbles. Without looking, you pick one marble from a randomly selected jar. What is the probability that the marble will be blue?","First calculate the total number of marbles which is 3+7+6+4+8+2+0+10=40. The total number of blue marbles is 3+6+8+0=17. The probability of selecting a blue marble is the number of blue marbles divided by the total number of marbles, which is 17/40.",3/10,17/40,1/2,7/20,Another answer,2
Optimization of actions and planning,"You are organizing a round robin chess tournament where each player must play every other player exactly once. Due to limited number of chess sets, only a certain number of games can be played simultaneously. If you have 10 players and only 4 sets, what is the minimum number of rounds required to complete the tournament if each round is played simultaneously?","With 10 players, there are a total of 45 games to play (since each pair of players plays exactly one game: C(10, 2) = 10! / (2! * (10-2)!) = 45). With 4 games played per round (because there are 4 chess sets), you can calculate the minimum number of rounds by dividing the total number of games by the number of games per round and then rounding up (because you cannot have a fraction of a round). So 45 / 4 = 11.25, which means at least 12 rounds are needed, since you can't have a fraction of a round.",10 rounds,11 rounds,12 rounds,13 rounds,Another answer,3
Optimization of actions and planning,"A librarian is organizing a bookshelf with a five by five grid, numbered from 1 to 25, left to right, top to bottom. Each book has a unique code corresponding to the position where it should be placed on the grid. The librarian can only carry one book at a time and it takes 1 minute to move one space left, right, up, or down, and an additional 1 minute to place a book. Starting from the top left corner (position 1) with the first book, and with an initial layout already placing some books at random, the librarian notices that exactly four books are not in their designated places. These misplaced books have the following codes: 5, 10, 17, and 24. What is the minimal time needed for her to place all the books correctly, assuming there are no other obstacles on the shelf to impede her movement?","The librarian should first place book 5, then book 10, followed by book 17, and finally book 24. This route minimizes backtracking. Starting from 1, she moves 4 to the right (4 minutes), places the book (1 minute), moves 5 down (5 minutes), places the book (1 minute), moves 1 down and 2 left (3 minutes), places the book (1 minute), moves 2 down and 2 right (4 minutes) and places the final book (1 minute). Total time: 4 + 1 + 5 + 1 + 3 + 1 + 4 + 1 = 20 minutes.",20 minutes,22 minutes,18 minutes,24 minutes,Another answer,5
Optimization of actions and planning,"You have three tasks to complete, each with a different time sensitivity. Task 1 must be finished within 2 days, Task 2 within 5 days, and Task 3 within 7 days. Each task requires 3 full days to complete. You have one more constraint: you cannot work on weekends. Starting on a Monday, in what order should you complete the tasks to ensure all tasks are finished within their respective deadlines?","You should start with Task 1 on Monday, complete it by Wednesday, and then take on Task 2 on Thursday. Because you cannot work on weekends, you will continue Task 2 on the following Monday and finish it on Tuesday. Finally, you can begin Task 3 on Wednesday, work on it until Friday, pause over the weekend, and complete it on the next Monday and Tuesday, all within the 7-day deadline.","Task 2, Task 3, Task 1","Task 1, Task 3, Task 2","Task 1, Task 2, Task 3","Task 3, Task 2, Task 1",Another answer,3
Spatial reasoning,"You are given a cube that is made up of smaller cubes arranged in a 3x3x3 grid. If the entire outer surface of the larger cube is painted red, how many of the smaller cubes will have exactly one side painted?","The cube is composed of 27 smaller cubes (3 layers of 3x3). The smaller cubes on the corners will have three sides painted, so they are not considered. The cubes in the center of each face will have only one side painted, and there are 6 faces, so the answer is 6.",8,6,12,18,Another answer,2
Classic riddles,"I’m light as a feather, but even the world's strongest man couldn’t hold me for much longer than a minute. What am I?","The answer is 'breath'. It's a classic riddle where the key is to think about something intangible and essential that everybody does. Breath is light as a feather since it weighs very little and even the strongest people can typically only hold their breath for a limited period, regardless of their physical strength.",A bubble,Breath,A cloud,A thought,Another answer,2
Optimization of actions and planning,"In a small town, there are four bridges that connect two parts of the town separated by a river. Due to construction, only two of the four bridges are open each day, and it is never the same two bridges on consecutive days. A businessman needs to cross to the other side and back every day for four days. He chooses bridges randomly each day. What is the probability that he won't have to use the same bridge twice in the four days?","The businessman has 4 bridges to choose from on the first day, but only 2 will be open, giving him a 2/4 chance of crossing. On subsequent days, he has 3 remaining bridges that he hasn't used yet. However, since bridges are not closed two days in a row, one of the bridges from the previous day will be open, thus only giving him a 1/3 chance of choosing a new one on the second day. On the third day, assuming he hasn't used any bridge twice yet, two bridges that he hasn't used yet could be open but he has used one of them, giving him a 1/2 chance. On the last day, if he has been successful so far, there will be one bridge that he hasn't used yet and that one has to be open since two bridges are open each day and the other open option is one he has used before. So, the probability he hasn't reused any bridge by the fourth day is (2/4) * (1/3) * (1/2) * (1/1) = 1/12.",1/24,1/12,1/6,1/4,Another answer,5
Operation of mechanisms,"In a magical land, there are three mysterious machines, each with two slots for inserting coins. Machine A, B, and C operate as follows: Machine A doubles the amount of gold in the first slot and adds 10 gold to the second slot. Machine B triples the amount of gold in the first slot and halves the amount of gold (rounding down) in the second slot. Machine C takes the sum of gold from both slots and places the total in the second slot, leaving the first slot empty. You start with one gold coin each in both slots of machine A. If you can only use each machine once and in any order, what is the maximum amount of gold you can have in a single slot after using all three machines?","To maximize the gold, first use machine B which will triple the gold in the first slot (3 gold) and half the second slot, rounded down (5 gold). Then use machine A, which will double the first slot (6 gold) and add 10 to the second slot (15 gold). Finally, use machine C, which sums the gold and places it in the second slot, leaving us with 0 gold in the first slot and 21 gold in the second slot.",21 gold,20 gold,22 gold,19 gold,Another answer,5
Operation of mechanisms,"A scientist has built three different time machines: Machine A, Machine B, and Machine C. Each machine has two modes: 'Forward in time' and 'Backward in time'. When operating in 'Forward in time' mode, Machine A moves forward by 3 hours, Machine B by 5 hours, and Machine C by 7 hours. When set to 'Backward in time', they move backwards by the same amount of time. The scientist activates each machine once. After the operation, the total net time traveled equals zero, meaning the combined operation of the machines has not resulted in any change in the present time. What combinations of modes were set on each machine?","To accomplish a net time travel of zero, one machine must travel forward, and the other two must travel backward, or vice versa. Machine A (3 hours) and Machine B (5 hours) cannot both move in the same direction, otherwise, no single machine can compensate for their combined time shift (8 or -8 hours). Therefore, one of them must move forward, and the other must move backward. Since Machine C moves by 7 hours, it cannot be set to the same direction as either Machine A or Machine B, otherwise, their net move would be 4 or -4, which no single remaining machine can offset. Therefore, Machine C must be set to the opposite direction of both A and B. Thus, there are two possibilities:
1. Machine A moves forward by 3 hours, Machine B moves backward by 5 hours, and Machine C moves backward by 7 hours. The net time would be 3 - 5 - 7 = -9 hours, which is impossible.
2. Machine A moves backward by 3 hours, Machine B moves forward by 5 hours, and Machine C moves backward by 7 hours. The net time would be -3 + 5 - 7 = -5 hours, which is also impossible.
So, it means there must be an error in the initial assumptions. In fact, two machines must move in one direction, and one in the opposite direction. By trying different combinations, we find that if Machine A moves forward, and Machines B and C move backward, the net time would be (+3) - (+5) - (+7) = -9 hours. If we flip this setup, with Machine A moving backward, and Machines B and C moving forward, we get the solution: -3 + 5 + 7 = +9 - 3 = +6. So the machines were set as follows: Machine A backward, Machine B forward, Machine C forward. The net time travel is zero because Machine A went 3 hours into the past, while Machines B and C together moved a total of 3 hours into the future.","Machine A: Backward, Machine B: Forward, Machine C: Forward","Machine A: Forward, Machine B: Forward, Machine C: Forward","Machine A: Forward, Machine B: Backward, Machine C: Forward","Machine A: Forward, Machine B: Backward, Machine C: Backward",Another answer,5
Operation of mechanisms,"In a room, there are three machines. Each machine has two modes: blue mode and red mode. Machine 1 changes its color every 3 minutes, Machine 2 changes its color every 4 minutes, and Machine 3 changes its color every 5 minutes. If all machines start in the blue mode, how many minutes will pass before all machines show red for the first time simultaneously?","To solve this, we need to find the Lowest Common Multiple (LCM) of the time intervals for the color changes: 3, 4, and 5 minutes. The LCM of 3, 4, and 5 is 60. Therefore, all three machines will be in red mode simultaneously after 60 minutes from the initial start.",20 minutes,60 minutes,120 minutes,180 minutes,Another answer,2
Optimization of actions and planning,"Alice has to prepare 3 different types of cookies for an event. The chocolate chip cookies take 15 minutes to prepare and 10 minutes to bake. The sugar cookies take 10 minutes to prepare and 15 minutes to bake. The oatmeal raisin cookies take 12 minutes to prepare and 12 minutes to bake. She has only one oven, which can bake one type of cookies at a time. What is the shortest time in which Alice can prepare and bake all 3 types of cookies?","To optimize the process, Alice should start by preparing the cookies that take the longest to bake, which are the sugar cookies. While the sugar cookies are baking, she can prepare the chocolate chip cookies. As soon as the sugar cookies are done, she can bake the chocolate chip cookies and prepare the oatmeal raisin cookies. By the time she is done preparing the oatmeal cookies, the chocolate chip cookies are ready. She bakes the oatmeal raisin cookies last. This process takes 15 minutes (prep sugar) + 15 minutes (bake sugar and prep chocolate) + 10 minutes (bake chocolate and prep oatmeal) + 12 minutes (bake oatmeal) = 52 minutes.",52 minutes,60 minutes,57 minutes,45 minutes,Another answer,5
Classic riddles,"In a kingdom, there are 5 wells each containing different amounts of water. The first well contains half the amount of water than the second well. The third well contains 3 liters less than the first well. The fourth well contains twice the amount of the third, and the last well has a quantity that is the average of all four previous wells. If the first and the last wells together contain 35 liters, how much water does the third well contain?","Let's denote the amounts of water in the five wells with W1, W2, W3, W4, and W5 respectively. According to the problem:
W1 = 0.5 * W2
W3 = W1 - 3
W4 = 2 * W3
W5 = (W1 + W2 + W3 + W4) / 4
W1 + W5 = 35
We can use these relationships to form equations. Using the third equation, we get W4 = 2 * (W1 - 3). With the fourth equation, we have W5 = (2 * W1 + 2 * (W1 - 3)) / 4 = (2 * W1 + W1 - 3) / 2 = (3 * W1 - 3) / 2
Re-write the fifth equation,
W1 + (3 * W1 - 3) / 2 = 35. Multiply by 2 to get rid of the fraction, 2 * W1 + 3 * W1 - 3 = 70,5 * W1 - 3 = 70. By solving this equation, we get, W1 = 73 / 5, W1 = 14.6 liters.
Now we have W1, and we need to find W3, W3 = W1 - 3, W3 = 14.6 - 3, W3 = 11.6 liters.",9.6 liters,11.6 liters,13.6 liters,15.6 liters,Another answer,5
Classic riddles,"A man tells you 'All my sons have as many brothers as they have sisters, and each of my daughters has twice as many brothers as they have sisters'. How many sons and daughters do I have?","The man has 4 sons and 3 daughters. Each son has 3 brothers (making 4 sons) and 3 sisters, which makes the first statement true. Each daughter has twice as many brothers as sisters, meaning 4 brothers and 2 sisters, which complies with having 3 daughters in total.",3 sons and 4 daughters,4 sons and 3 daughters,2 sons and 5 daughters,5 sons and 2 daughters,Another answer,2
